ID,UPC,c__baseSku,brand,c__configurableProduct,c__fuelType,c__ignitionType,c__isDiscontinued,c__isSharedVariationProduct,c__isStepVariationProduct,manufacturerSKU,name__default,c__parentSku,c__productCategory,c__productTypeNonoperative,c__series,c__seriesNumber,c__sku,c__skuLP,c__skuNG,c__style,c__unitSku,c__ventType,variants,variationGroups,productSets
surr35-ss4s-b,,,Superior,,,,,TRUE,TRUE,SURR35-SS4S-B,Superior 4pc 35 DV 45.25x41.63 Surround | SURR35-SS4S-B |,"DRT2035TMN-C, DRT2035TMP-C, DRT2035TEN-C, DRT2035TEP-C, DRT2035RMN-C, DRT2035RMP-C, DRT2035REN-C, DRT2035REP-C, DRT3035DMN-C, DRT3035DMP-C, DRT3035DEN-C, DRT3035DEP-C, DRT3535DEN-C, DRT3535DEP-C",Trim Kits,Variation Product,,,SURR35-SS4S-B,,,,,,,,
surr35st-ss4s,43593069368,,Superior,,,,TRUE,,TRUE,SURR35ST-SS4S,Superior 35 Inch Stainless Surround 4 pcs | SURR35ST-SS4S |,,Decorative Surrounds,Variation Product,,,SURR35ST-SS4S,,,,,,,,
surr40-ss3s-b,,,Superior,,,,,TRUE,TRUE,SURR40-SS3S-B,Superior 3pc 40 DV 50.25x41.63 Surround | SURR40-SS3S-B |,"DRT2040TMN-C, DRT2040TMP-C, DRT2040TEN-C, DRT2040TEP-C, DRT2040RMN-C, DRT2040RMP-C, DRT2040REN-C, DRT2040REP-C, DRT3040DMN-C, DRT3040DMP-C, DRT3040DEN-C, DRT3040DEP-C, DRT3540DEN-C, DRT3540DEP-C, DRT4040DEN-C, DRT4040DEP-C, DRT4240DEN-C, DRT4240DEP-C",Trim Kits,Variation Product,,,SURR40-SS3S-B,,,,,,,,
surr40-ss4s,43593069405,,Superior,,,,,,TRUE,SURR40-SS4S,Superior Stainless 40 inch Surround - 4 pc | SURR40-SS4S |,"DRC2040TMN, DRC2040TEN, DRC2040RMN, DRC2040REN",Trim Kits,Variation Product,,,SURR40-SS4S,,,,,,,,
surr40-ss4s-b,,,Superior,,,,,TRUE,TRUE,SURR40-SS4S-B,Superior 4pc 40 DV 50.25x46.63 Surround | SURR40-SS4S-B |,"DRT2040TMN-C, DRT2040TMP-C, DRT2040TEN-C, DRT2040TEP-C, DRT2040RMN-C, DRT2040RMP-C, DRT2040REN-C, DRT2040REP-C, DRT3040DMN-C, DRT3040DMP-C, DRT3040DEN-C, DRT3040DEP-C, DRT3540DEN-C, DRT3540DEP-C, DRT4040DEN-C, DRT4040DEP-C, DRT4240DEN-C, DRT4240DEP-C",Trim Kits,Variation Product,,,SURR40-SS4S-B,,,,,,,,
surr42l-ss4s,43593069382,,Superior,,,,TRUE,TRUE,TRUE,SURR42L-SS4S,Superior Stainless 42 inch Surround - 4 pc | SURR42L-SS4S |,"DRL3042, DRL6542",Decorative Surrounds,Variation Product,,,SURR42L-SS4S,,,,,,,,
surr45-ss3s,43593068835,,Superior,,,,,,TRUE,SURR45-SS3S,Superior Stainless 45 inch Surround - 3 pc | SURR45-SS3S |,DRC2045DEN,Trim Kits,Variation Product,,,SURR45-SS3S,,,,,,,,
surr45-ss3s-b,,,Superior,,,,,TRUE,TRUE,SURR45-SS3S-B,"Superior 3pc 45 DV, 55.25x41.63 Surround | SURR45-SS3S-B |","DRT2045DMN-C, DRT2045DMP-C, DRT2045DEN-C, DRT2045DEP-C, DRT3045DMN-C, DRT3045DMP-C, DRT3045DEN-C, DRT3045DEP-C, DRT3545DEN-C, DRT3545DEP-C, DRT4045DEN-C, DRT4045DEP-C, DRT4245TEN-C, DRT4245TEP-C",Trim Kits,Variation Product,,,SURR45-SS3S-B,,,,,,,,
surr45-ss4s-b,,,Superior,,,,,TRUE,TRUE,SURR45-SS4S-B,"Superior 4pc 45 DV, 55.25x46.63 Surround | SURR45-SS4S-B |","DRT2045DMN-C, DRT2045DMP-C, DRT2045DEN-C, DRT2045DEP-C, DRT3045DMN-C, DRT3045DMP-C, DRT3045DEN-C, DRT3045DEP-C, DRT3545DEN-C, DRT3545DEP-C, DRT4045DEN-C, DRT4045DEP-C, DRT4245TEN-C, DRT4245TEP-C",Trim Kits,Variation Product,,,SURR45-SS4S-B,,,,,,,,
surr54l-ss4s,43593069375,,Superior,,,,TRUE,,TRUE,SURR54L-SS4S,Superior Stainless 54 inch Surround - 4 pc | SURR54L-SS4S |,,Decorative Surrounds,Variation Product,,,SURR54L-SS4S,,,,,,,,
surrl42b,43593055194,,Superior,,,,TRUE,,TRUE,SURRL42B,Superior Black 42 inch Surround | SURRL42B |,,Decorative Surrounds,Variation Product,,,SURRL42B,,,,,,,,
surrl42bd,43593059222,,Superior,,,,TRUE,,TRUE,SURRL42BD,Superior Black Added Depth 42 inch Surround | SURRL42BD |,,Decorative Surrounds,Variation Product,,,SURRL42BD,,,,,,,,
surrl42bs,43593055507,,Superior,,,,TRUE,,TRUE,SURRL42BS,Superior Stainless Matte 42 inch Surround | SURRL42BS |,,Decorative Surrounds,Variation Product,,,SURRL42BS,,,,,,,,
surrl42bsd,43593059239,,Superior,,,,TRUE,,TRUE,SURRL42BSD,Superior Stainless Added Depth 42 inch Surround | SURRL42BSD |,,Decorative Surrounds,Variation Product,,,SURRL42BSD,,,,,,,,
surrl54b,43593055514,,Superior,,,,TRUE,,,SURRL54B,Superior Black 54 inch Surround | SURRL54B |,,Decorative Surrounds,Product,,,SURRL54B,,,,,,,,
surrl54bd,43593059253,,Superior,,,,TRUE,,,SURRL54BD,Superior Black Added Depth 54 inch Surround | SURRL54BD |,,Decorative Surrounds,Product,,,SURRL54BD,,,,,,,,
surrl54bs,43593055484,,Superior,,,,TRUE,,,SURRL54BS,Superior Stainless Matte 54 inch Surround | SURRL54BS |,,Decorative Surrounds,Product,,,SURRL54BS,,,,,,,,
surrl54bsd,43593059260,,Superior,,,,TRUE,,,SURRL54BSD,Superior Stainless Added Depth 54 inch Surround | SURRL54BSD |,,Decorative Surrounds,Product,,,SURRL54BSD,,,,,,,,
sv45htkct,43593045867,,Superior,,,,,TRUE,TRUE,SV45HTKCT,Superior Compact Termination SV4.5 | SV45HTKCT |,"DRT2033TEN, DRT2033TEP, DRT2033REN, DRT2033REP, DRT2035TMN-C, DRT2035TMP-C, DRT2035TEN-C, DRT2035TEP-C, DRT2035RMN-C, DRT2035RMP-C, DRT2035REN-C, DRT2035REP-C, DRC2033TEN, DRC2033REN, DRC2035TMN, DRC2035TEN, DRC2035RMN, DRC2035REN, DRC2040TMN, DRC2040TEN, DRC2040RMN, DRC2040REN, DRC2045DEN",Venting Components,Variation Product,,,SV45HTKCT,,,,,,,,
sv45htkct20,43593045850,,Superior,,,,,TRUE,TRUE,SV45HTKCT20,"Superior Compact Termination SV4.5 20"" w shield | SV45HTKCT20 |","DRT2033TEN, DRT2033TEP, DRT2033REN, DRT2033REP, DRT2035TMN-C, DRT2035TMP-C, DRT2035TEN-C, DRT2035TEP-C, DRT2035RMN-C, DRT2035RMP-C, DRT2035REN-C, DRT2035REP-C, DRC2033TEN, DRC2033REN, DRC2035TMN, DRC2035TEN, DRC2035RMN, DRC2035REN, DRC2040TMN, DRC2040TEN, DRC2040RMN, DRC2040REN, DRC2045DEN",Venting Components,Variation Product,,,SV45HTKCT20,,,,,,,,
sv4_5-20sswsk,43593068194,,Superior,,,,,,,SV4.5-20SSWSK,"Superior Secure Vent 20"" Small Square Termination w/Shield | SV4.5-20SSWSK |",,Venting Components,Product,,,SV4.5-20SSWSK,,,,,,,,
sv4_5-htsk,43593059024,,Superior,,,,,,,SV4.5-HTSK,"Superior Secure Flex Shroud Kit, Horizontal Termination | SV4.5-HTSK |",,Venting Components,Product,,,SV4.5-HTSK,,,,,,,,
sv4_5e45,778272615801,,Superior,,,,,,,SV4.5E45,Superior Secure Vent 45 Degree Elbow | SV4.5E45 |,,Venting Components,Product,,,SV4.5E45,,,,,,,,
sv4_5e90,778272615818,,Superior,,,,,,,SV4.5E90,Superior Secure Vent 90 Degree Elbow | SV4.5E90 |,,Venting Components,Product,,,SV4.5E90,,,,,,,,
sv4_5f,778272616303,,Superior,,,,,,,SV4.5F,Superior Secure Vent Roof Flashing - Flat | SV4.5F |,,Venting Components,Product,,,SV4.5F,,,,,,,,
sv4_5fa,778272616358,,Superior,,,,,,,SV4.5FA,Superior Secure Vent Roof Flashing 1/12 - 7/12 Pitch | SV4.5FA |,,Venting Components,Product,,,SV4.5FA,,,,,,,,
sv4_5fb,778272616389,,Superior,,,,,,,SV4.5FB,Superior Secure Vent Roof Flashing 7/12 - 12/12 Pitch | SV4.5FB |,,Venting Components,Product,,,SV4.5FB,,,,,,,,
sv4_5gv-1,778272717666,,Superior,,,,,,,SV4.5GV-1,Superior Secure Vent High Wind Vertical Termination | SV4.5GV-1 |,,Venting Components,Product,,,SV4.5GV-1,,,,,,,,
sv4_5gv-1-sc,43593057372,,Superior,,,,,,,SV4.5GV-1-SC,Superior Secure Vent Vertical Termination with Storm Collar | SV4.5GV-1-SC |,,Venting Components,Product,,,SV4.5GV-1-SC,,,,,,,,
sv4_5hf5,43593056818,,Superior,,,,,,,SV4.5HF5,Superior Secure Vent Rigid Horizontal Spacer - Each | SV4.5HF5 |,,Venting Components,Product,,,SV4.5HF5,,,,,,,,
sv4_5hgs,43593056849,,Superior,,,,,,,SV4.5HGS,Superior Secure Flex Termination Guard Kit | SV4.5HGS |,,Venting Components,Product,,,SV4.5HGS,,,,,,,,
sv4_5hgs-1,43593058607,,Superior,,,,,,,SV4.5HGS-1,Superior Secure Flex Termination Guard Kit | SV4.5HGS-1 |,,Venting Components,Product,,,SV4.5HGS-1,,,,,,,,
sv4_5hrk14,778272632761,,Superior,,,,,,,SV4.5HRK14,"Superior Secure Vent 14"" Horizontal Riser Kit | SV4.5HRK14 |",,Venting Components,Product,,,SV4.5HRK14,,,,,,,,
sv4_5hrk36,778272632846,,Superior,,,,,,,SV4.5HRK36,"Superior Secure Vent 36"" Horizontal Riser Kit | SV4.5HRK36 |",,Venting Components,Product,,,SV4.5HRK36,,,,,,,,
sv4_5ht-2,43593055521,,Superior,,,,,,,SV4.5HT-2,Superior Secure Vent Horizontal Termination Kit | SV4.5HT-2 |,,Venting Components,Product,,,SV4.5HT-2,,,,,,,,
sv4_5htss,43593059154,,Superior,,,,,,,SV4.5HTSS,Superior Secure Vent Horizontal Termination - Small Square | SV4.5HTSS |,,Venting Components,Product,,,SV4.5HTSS,,,,,,,,
sv4_5l12,43593056894,,Superior,,,,,,,SV4.5L12,Superior Secure Vent 12 Inch Rigid Direct Vent Pipe | SV4.5L12 |,,Venting Components,Product,,,SV4.5L12,,,,,,,,
sv4_5l24,778272615788,,Superior,,,,,,,SV4.5L24,Superior Secure Vent 24 Inch Rigid Direct Vent Pipe | SV4.5L24 |,,Venting Components,Product,,,SV4.5L24,,,,,,,,
sv4_5l36,778272615764,,Superior,,,,,,,SV4.5L36,Superior Secure Vent 36 Inch Rigid Direct Vent Pipe | SV4.5L36 |,,Venting Components,Product,,,SV4.5L36,,,,,,,,
sv4_5l48,778272615757,,Superior,,,,,,,SV4.5L48,Superior Secure Vent 48 Inch Rigid Direct Vent Pipe | SV4.5L48 |,,Venting Components,Product,,,SV4.5L48,,,,,,,,
sv4_5l6,778272628344,,Superior,,,,,,,SV4.5L6,Superior Secure Vent 6 Inch Rigid Direct Vent Pipe | SV4.5L6 |,,Venting Components,Product,,,SV4.5L6,,,,,,,,
sv4_5la,778272628948,,Superior,,,,,,,SV4.5LA,"Superior Secure Vent Adjustable Length Slip Section (2"" - 7.5"") - Rigid | SV4.5LA |",,Venting Components,Product,,,SV4.5LA,,,,,,,,
sv4_5rf,,,Superior,,,,TRUE,,,SV4.5RF,Superior Secure Vent SV4.5 to Secure Flex Adapter | SV4.5RF |,,Venting Components,Product,,,SV4.5RF,,,,,,,,
sv4_5rsa,778272765759,,Superior,,,,,,,SV4.5RSA,Superior Secure Vent Attic Insulation Radiation Shield | SV4.5RSA |,,Venting Components,Product,,,SV4.5RSA,,,,,,,,
sv4_5sp,43593056832,,Superior,,,,,,,SV4.5SP,Superior Secure Vent Support Plate | SV4.5SP |,,Venting Components,Product,,,SV4.5SP,,,,,,,,
sv4_5su,43593056825,,Superior,,,,,,,SV4.5SU,Superior Secure Vent Support Strap | SV4.5SU |,,Venting Components,Product,,,SV4.5SU,,,,,,,,
sv4_5tk90ht2,43593059161,,Superior,,,,,,,SV4.5TK90HT2,Superior Secure Vent Horizontal Termination Kit HT2 w/ SV4.5 90 Elbow | SV4.5TK90HT2 |,,Venting Components,Product,,,SV4.5TK90HT2,,,,,,,,
sv4_5tk90ss,43593059178,,Superior,,,,,,,SV4.5TK90SS,Superior Secure Vent Small Square Horizontal Termination Kit w/ SV4.5 90 Elbow | SV4.5TK90SS |,,Venting Components,Product,,,SV4.5TK90SS,,,,,,,,
sv4_5twsk10,43593056153,,Superior,,,,,,,SV4.5TWSK10,Superior Secure Vent Through Wall Shield - 10 pack | SV4.5TWSK10 |,,Venting Components,Product,,,SV4.5TWSK10,,,,,,,,
sv4_5vfs,43593057365,,Superior,,,,,,,SV4.5VFS,Superior Secure Vent Vertical Firestop (Rigid) - Each | SV4.5VFS |,,Venting Components,Product,,,SV4.5VFS,,,,,,,,
sv8arsa,778272765766,,Superior,,,,TRUE,,,SV8ARSA,Superior Secure Vent Attic Insulation Radiation Shield | SV8ARSA |,,Venting Components,Product,,,SV8ARSA,,,,,,,,
sv8bf,778272749186,,Superior,,,,TRUE,,,SV8BF,Superior Secure Vent Vertical Firestop | SV8BF |,,Venting Components,Product,,,SV8BF,,,,,,,,
sv8e45c,43593070036,,Superior,,,,TRUE,,,SV8E45C,Superior Secure Vent Corrugated 45 Degree Elbow | SV8E45C |,,Venting Components,Product,,,SV8E45C,,,,,,,,
sv8e90c,43593070012,,Superior,,,,TRUE,,,SV8E90C,Superior Secure Vent Corrugated 90 Degree Elbow | SV8E90C |,,Venting Components,Product,,,SV8E90C,,,,,,,,
sv8f,778272746802,,Superior,,,,TRUE,,,SV8F,"Superior Secure Vent Roof Flashing, Flat | SV8F |",,Venting Components,Product,,,SV8F,,,,,,,,
