ID,UPC,c__baseSku,brand,c__configurableProduct,c__fuelType,c__ignitionType,c__isDiscontinued,c__isSharedVariationProduct,c__isStepVariationProduct,manufacturerSKU,name__default,c__parentSku,c__productCategory,c__productTypeNonoperative,c__series,c__seriesNumber,c__sku,c__skuLP,c__skuNG,c__style,c__unitSku,c__ventType,variants,variationGroups,productSets
1001-a,879750000000,,Skytech,,,,,,,1001-A,Skytech Systems On-Off Remote | 1001-A |,,Remote Controls,Product,,,1001-A,,,,,,,,
10dbk-12,,,DuraVent,,,,,,,10DBK-12,"DuraVent DuraBlack 10"" Diameter Single Wall Black 12"" Pipe Length | 10DBK-12 |",,Venting Components,Product,DuraBlack,,10DBK-12,,,,,,,,
10dbk-24,,,DuraVent,,,,,,,10DBK-24,"DuraVent DuraBlack 10"" Diameter Single Wall Black 24"" Pipe Length | 10DBK-24 |",,Venting Components,Product,DuraBlack,,10DBK-24,,,,,,,,
10dbk-addb,,,DuraVent,,,,,,,10DBK-ADDB,"DuraVent DuraBlack 10"" Diameter Black Double-Skirted Stovetop Adapter | 10DBK-ADDB |",,Venting Components,Product,DuraBlack,,10DBK-ADDB,,,,,,,,
10dbk-e45,,,DuraVent,,,,,,,10DBK-E45,"DuraVent DuraBlack 10"" Diameter Black 45 Degree Black Elbow | 10DBK-E45 |",,Venting Components,Product,DuraBlack,,10DBK-E45,,,,,,,,
10dbk-e90,,,DuraVent,,,,,,,10DBK-E90,"DuraVent DuraBlack 10"" Diameter Black 90 Degree Black Elbow | 10DBK-E90 |",,Venting Components,Product,DuraBlack,,10DBK-E90,,,,,,,,
10dbk-sc,,,DuraVent,,,,,,,10DBK-SC,"DuraVent DuraBlack 10"" Diameter Black Slip Connector | 10DBK-SC |",,Venting Components,Product,DuraBlack,,10DBK-SC,,,,,,,,
10dbk-t,,,DuraVent,,,,,,,10DBK-T,"DuraVent DuraBlack 10"" Diameter Black Tee w/Clean-Out Cap | 10DBK-T |",,Venting Components,Product,DuraBlack,,10DBK-T,,,,,,,,
10dbk-tc,,,DuraVent,,,,,,,10DBK-TC,"DuraVent DuraBlack 10"" Diameter Black Trim Collar | 10DBK-TC |",,Venting Components,Product,DuraBlack,,10DBK-TC,,,,,,,,
10k81,,,Thurmalox,,,,,,,10K81,Thurmalox Secure Flex 700 Degree Black Millpac High Temp Silicone Tube | 10K81 |,,Tools and Supplies,Product,,,10K81,,,,,,,,
1100cp-1,629169025497,,Napoleon,,Wood,,TRUE,,,1100CP-1,Napoleon Banff Small Cast Iron Wood Stove | 1100 |,,Wood Stoves,Product,Banff,,1100CP-1,,,Traditional,,Vented,,,
1100cp-1-additional-accessories,,,,,,,,,,,Napoleon Banff Small Additional Accessories,,,Variation Master,,,,,,,1100CP-1,,gs200-g,,
1100cp-1-set,,,,,,,,,,,Napoleon Banff Small Set,,,Product Set,,,,,,,,,,,1100cp-1;1100cp-1-additional-accessories
11100008,,,True North,,,,,,TRUE,11100008,True North 3 Inch Outside Air Adapter | 11100008,,Air Kits,Variation Product,,,11100008,,,,,,,,
111kt,,,Napoleon,,,,,TRUE,TRUE,111KT,Napoleon Outside Air Kit | 111KT |,"GVF36-2N,GVF36-2P,GVF42-1N,GVF42-1P,GVFT8N,GVFT8P,NZ3000H-1,NZ5000-T,NZ8000,S20-1,S25,WHVF24N,WHVF24P,WHVF31N,WHVF31P",Venting Components,Variation Product,,,111KT,,,,,,,,
112kt,629169015863,,Napoleon,,,,,TRUE,TRUE,112KT,Napoleon Adapter Plate for Outside Air Kit | 112KT |,"GVF36-2N,GVF36-2P,GVF42-1N,GVF42-1P,GVFT8N,GVFT8P,WHVF24N,WHVF24P,WHVF31N,WHVF31P",Air Kits,Variation Product,,,112KT,,,,,,,,
114kt,629169024063,,Napoleon,,,,,,,114KT,"Napoleon Outside Air Kit - 5 feet with through the wall vent (2"" dia.) | 114KT |",,Air Kits,Product,,,114KT,,,,,,,,
115kt,629169025381,,Napoleon,,,,TRUE,,,115KT,Napoleon Outside Air Kit - 4 Feet Insulated Flexpipe with Through the Wall Vent | 115KT |,,Heat Distribution,Product,,,115KT,,,,,,,,
12-12dm,43593042637,,Superior,,,,,,,12-12DM,"Superior 12"" Section Double Wall Pipe Snap Lock | 12-12DM |",,Venting Components,Product,,,12-12DM,,,,,,,,
12-12ht,43593042422,,Superior,,,,,,,12-12HT,"Superior 12"" Section Hi-Temp Double Wall Pipe Snap Lock | 12-12HT |",,Venting Components,Product,,,12-12HT,,,,,,,,
12-8dm,43593041142,,Superior,,,,,,,12-8DM,Superior Wood Burning Vent Pipe IHP | 12-8DM |,,Venting Components,Product,,,12-8DM,,,,,,,,
12-8dm-fmi-lhp,43593068514,,Superior,,,,,,,12-8DM-FMI-LHP,"Superior 12"" Conversion pipe from 8DM to FTF8 | 12-8DM-FMI-LHP |",,Venting Components,Product,,,12-8DM-FMI-LHP,,,,,,,,
12-8ht,43593041289,,Superior,,,,,,,12-8HT,"Superior 12"" Section Hi-Temp Double Wall Pipe Snap Lock | 12-8HT |",,Venting Components,Product,,,12-8HT,,,,,,,,
12270002,,,True North,,,,,,,12270002,True North Snorkel Terminal | 12270002 |,,Venting Components,Product,,,12270002,,,,,,,,
12s-12dm,43593042576,,Superior,,,,,,,12S-12DM,Superior Chimney Support above 30' | 12S-12DM |,,Venting Components,Product,,,12S-12DM,,,,,,,,
12s-12ht,43593042361,,Superior,,,,,,,12S-12HT,Superior Hi-Temp Chimney Support above 30' | 12S-12HT |,,Venting Components,Product,,,12S-12HT,,,,,,,,
12s-8dm,43593041074,,Superior,,,,,,,12S-8DM,Superior Chimney Support (For Use With Chimney Heights In Excess of 30') | 12S-8DM |,,Venting Components,Product,,,12S-8DM,,,,,,,,
12s-8ht,43593041227,,Superior,,,,,,,12S-8HT,Superior Hi-Temp Chimney Support (Use W/Chimney Hts In Excess of 30') | 12S-8HT |,,Venting Components,Product,,,12S-8HT,,,,,,,,
1400cp,629169029495,,Napoleon,,Wood,,TRUE,,,1400CP,Napoleon Banff Medium Cast Iron Wood Stove | 1400 |,,Wood Stoves,Product,Banff,,1400CP,,,Traditional,,Vented,,,
1400m,629169041299,,Napoleon,,Wood,,TRUE,,,1400M,Napoleon Huntsville Pedestal Medium Wood Stove | 1400M |,,Wood Stoves,Product,Huntsville,,1400M,,,Traditional,,Vented,,,
1400ml,,,Napoleon,,Wood,,TRUE,,,1400ML,Napoleon Huntsville Leg Model Medium Wood Stove | 1400ML |,,Wood Stoves,Product,Huntsville,,1400ML,,,Traditional,,Vented,,,
1450m,629169041312,,Napoleon,,Wood,,TRUE,,,1450M,Napoleon Independence Metallic Black Medium Wood Stove | 1450M |,,Wood Stoves,Product,Independence,,1450M,,,Traditional,,Vented,,,
17144,,,Empire,,,,,TRUE,TRUE,17144,Empire Electronic Ignition with Natural Gas to Propane Conversion Kit | 17144 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N",Conversion Kits,Variation Product,,,17144,,,,,,,,
17153,,,Empire,,,,,TRUE,TRUE,17153,Empire Electronic Ignition with Natural Gas to Propane Conversion Kit | 17153 |,"DVP48FP30N, DVP48FP31N, DVP48FP70N, DVP48FP71N, DVP48FP91N",Conversion Kits,Variation Product,,,17153,,,,,,,,
17183,,,Empire,,,,,TRUE,TRUE,17183,Empire Electronic Ignition with Propane Gas to Natural Conversion Kit | 17183 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N",Conversion Kits,Variation Product,,,17183,,,,,,,,
17195,,,Empire,,,,,TRUE,TRUE,17195,Empire Electronic Ignition with Propane Gas to Natural Conversion Kit | 17195 |,"DVP48FP30N, DVP48FP31N, DVP48FP70N, DVP48FP71N, DVP48FP91N",Conversion Kits,Variation Product,,,17195,,,,,,,,
1748,,,Napoleon,,,,TRUE,,,1748,Napoleon Patioflame PFC Cover | 1748 |,,Safety Barriers,Product,,,1748,,,,,,,,
18-12dm,43593042620,,Superior,,,,,,,18-12DM,"Superior 18"" Section Double Wall Pipe Snap Lock | 18-12DM |",,Venting Components,Product,,,18-12DM,,,,,,,,
18-12ht,43593042415,,Superior,,,,,,,18-12HT,"Superior 18"" Section Hi-Temp Double Wall Pipe Snap Lock | 18-12HT |",,Venting Components,Product,,,18-12HT,,,,,,,,
18-8dm,43593041135,,Superior,,,,,,,18-8DM,Superior Wood Burning Vent Pipe IHP | 18-8DM |,,Venting Components,Product,,,18-8DM,,,,,,,,
18-8ht,43593041272,,Superior,,,,,,,18-8HT,"Superior 18"" Section Hi-Temp Double Wall Pipe Snap Lock | 18-8HT |",,Venting Components,Product,,,18-8HT,,,,,,,,
18442,,,Empire,,,,,TRUE,TRUE,18442,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 18442 |,"DVCD36FP30N, DVCD36FP31N, DVCD36FP70N, DVCD36FP71N, DVD36FP30N, DVD36FP31N, DVD36FP33N, DVD36FP70N, DVD36FP71N, OP42FB2MF, OP42FP32MN, OP42FP72MN",Conversion Kits,Variation Product,,,18442,,,,,,,,
18456,,,Empire,,,,,TRUE,TRUE,18456,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 18456 |,"DVCD32FP30N, DVCD32FP31N, DVCD32FP70N, DVCD32FP71N, DVD32FP30N, DVD32FP31N, DVD32FP33N, DVD32FP70N, DVD32FP71N, OP42FB2MF, OP42FP32MN, OP42FP72MN",Conversion Kits,Variation Product,,,18456,,,,,,,,
18814,,,Empire,,,,,TRUE,TRUE,18814,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 18814 |,"DVCD42FP30N, DVCD42FP31N, DVCD42FP70N, DVCD42FP71N, DVD42FP30N, DVD42FP31N, DVD42FP70N, DVD42FP71N, OP42FB2MF, OP42FP32MN, OP42FP72MN",Conversion Kits,Variation Product,,,18814,,,,,,,,
18815,,,Empire,,,,,TRUE,TRUE,18815,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 18815 |,"DVD48FP30N, DVD48FP31N, DVD48FP70N, DVD48FP71N, DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,18815,,,,,,,,
18816,,,Empire,,,,,TRUE,TRUE,18816,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 18816 |,"DVCD32FP30N, DVCD32FP31N, DVCD32FP70N, DVCD32FP71N, DVD32FP30N, DVD32FP31N, DVD32FP33N, DVD32FP70N, DVD32FP71N, OP42FB2MF, OP42FP32MN, OP42FP72MN",Conversion Kits,Variation Product,,,18816,,,,,,,,
18817,,,Empire,,,,,TRUE,TRUE,18817,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 18817 |,"DVCD36FP30N, DVCD36FP31N, DVCD36FP70N, DVCD36FP71N, DVD36FP30N, DVD36FP31N, DVD36FP33N, DVD36FP70N, DVD36FP71N, OP42FB2MF, OP42FP32MN, OP42FP72MN",Conversion Kits,Variation Product,,,18817,,,,,,,,
18818,,,Empire,,,,,TRUE,TRUE,18818,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 18818 |,"DVCD42FP30N, DVCD42FP31N, DVCD42FP70N, DVCD42FP71N, DVD42FP30N, DVD42FP31N, DVD42FP70N, DVD42FP71N, OP42FB2MF, OP42FP32MN, OP42FP72MN",Conversion Kits,Variation Product,,,18818,,,,,,,,
18819,,,Empire,,,,,TRUE,TRUE,18819,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 18819 |,"DVD48FP30N, DVD48FP31N, DVD48FP70N, DVD48FP71N, DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,18819,,,,,,,,
18821,,,Empire,,,,,TRUE,TRUE,18821,Empire Millivolt Ignition with Natural Gas to Propane Conversion Kit | 18821 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N",Conversion Kits,Variation Product,,,18821,,,,,,,,
18822,,,Empire,,,,,TRUE,TRUE,18822,Empire Millivolt Ignition with Natural Gas to Propane Conversion Kit | 18822 |,"DVP48FP30N, DVP48FP31N, DVP48FP70N, DVP48FP71N, DVP48FP91N",Conversion Kits,Variation Product,,,18822,,,,,,,,
18824,,,Empire,,,,,TRUE,TRUE,18824,Empire Millivolt Ignition with Propane Gas to Natural Conversion Kit | 18824 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N",Conversion Kits,Variation Product,,,18824,,,,,,,,
18825,,,Empire,,,,,TRUE,TRUE,18825,Empire Millivolt Ignition with Propane Gas to Natural Conversion Kit | 18825 |,"DVP48FP30N, DVP48FP31N, DVP48FP70N, DVP48FP71N, DVP48FP91N",Conversion Kits,Variation Product,,,18825,,,,,,,,
200m,,,Napoleon,,,,TRUE,,,200M,Napoleon Traditional Steel Black Leg Set | 200M |,,Additional Accessories,Product,,,200M,,,,,,,,
202cg,,,Napoleon,,,,TRUE,,,202CG,Napoleon Ornamental Cast Iron Gold Plated 24k Leg Set | 202CG |,,Additional Accessories,Product,,,202CG,,,,,,,,
202cm,,,Napoleon,,,,TRUE,,,202CM,Napoleon Ornamental Cast Iron Black Leg Set | 202CM |,,Additional Accessories,Product,,,202CM,,,,,,,,
202css,,,Napoleon,,,,TRUE,,,202CSS,Napoleon Ornamental Cast Iron Stainless Steel Leg Set | 202CSS |,,Additional Accessories,Product,,,202CSS,,,,,,,,
20305693k,,,Monessen,,,,TRUE,,,20305693K,Monessen Artisan Screen Frame Assembly for AVFL42 | 20305693K |,,Parts,Product,,,20305693K,,,,,,,,
2100-1-additional-accessories,,,,,,,,,,,Napoleon Timberwold Small Additional Accessories,,,Variation Master,,,,,,,73051,,ep21l;ep20lad,,
109575,,2200,Napoleon,TRUE,Wood,,,,,109575,Napoleon Timberwolf Medium Wood Burning Stove | 2200-1,,Wood Stoves,Option Product,Timberwolf,2200,109575,,,Traditional,,Vented,,,
2200-1-additional-accessories,,,,,,,,,,,Napoleon Timberwolf Medium Additional Accessories,,,Variation Master,,,,,,,109575,,ep22l;ep20p;ep20pad,,
2200-1-blowers,,,,,,,,,,,Napoleon Timberwolf Medium Blowers,,,Variation Master,,,,,,,109575,,ept70,,
2200-1-set,,,,,,,,,,,Napoleon Timberwolf Medium Set,,,Product Set,,,,,,,,,,,2200-1;2200-1-additional-accessories;2200-1-blowers
222-g,,,Napoleon,,,,TRUE,,,222-G,Napoleon Gold Plated (24 Karat) Cast Iron Door with Standard Arch | 222-G |,,Stove Doors,Product,,,222-G,,,,,,,,
222-gw,,,Napoleon,,,,TRUE,,,222-GW,Napoleon Gold Plated (24 Karat) Cast Iron Door with Early American webbed arch | 222-GW |,,Stove Doors,Product,,,222-GW,,,,,,,,
23441,,,Empire,,,,,TRUE,TRUE,23441,Empire Millivolt Ignition with Natural Gas to Propane Conversion Kit | 23441 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,23441,,,,,,,,
23442,,,Empire,,,,,TRUE,TRUE,23442,Empire Millivolt Ignition with Propane Gas to Natural Conversion Kit | 23442 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,23442,,,,,,,,
23443,,,Empire,,,,,TRUE,TRUE,23443,Empire Electronic Ignition with Natural Gas to Propane Conversion Kit | 23443 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,23443,,,,,,,,
23444,,,Empire,,,,,TRUE,TRUE,23444,Empire Electronic Ignition with Propane Gas to Natural Conversion Kit | 23444 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,23444,,,,,,,,
23695,,,Empire,,,,,TRUE,TRUE,23695,Empire Millivolt Ignition with Propane Gas to Natural Conversion Kit | 23695 |,"DVX36FP31LN, DVX36FP71LN, DVX36FP91LN",Conversion Kits,Variation Product,,,23695,,,,,,,,
23697,,,Empire,,,,,TRUE,TRUE,23697,Empire Millivolt Ignition with Propane Gas to Natural Conversion Kit | 23697 |,"DVX42FP31LN, DVX42FP71LN, DVX42FP91LN",Conversion Kits,Variation Product,,,23697,,,,,,,,
23698,,,Empire,,,,,TRUE,TRUE,23698,Empire Propane Gas to Natural MF Conversion Kit | 23698 |,"DVX42FP31LN, DVX42FP71LN, DVX42FP91LN",Conversion Kits,Variation Product,,,23698,,,,,,,,
23700,,,Empire,,,,,TRUE,TRUE,23700,Empire Millivolt Ignition with Natural Gas to Propane Conversion Kit | 23700 |,"DVX42FP31LN, DVX42FP71LN, DVX42FP91LN",Conversion Kits,Variation Product,,,23700,,,,,,,,
23701,,,Empire,,,,TRUE,,,23701,Empire Natural Gas to Propane MF Conversion Kit | 23701 |,,Conversion Kits,Product,,,23701,,,,,,,,
23702,,,Empire,,,,,TRUE,TRUE,23702,Empire Millivolt Ignition with Natural Gas to Propane Conversion Kit | 23702 |,"DVX36FP31LN, DVX36FP71LN, DVX36FP91LN",Conversion Kits,Variation Product,,,23702,,,,,,,,
24-12dm,43593042613,,Superior,,,,,,,24-12DM,"Superior 24"" Section Double Wall Pipe Snap Lock | 24-12DM |",,Venting Components,Product,,,24-12DM,,,,,,,,
24-12ht,43593042408,,Superior,,,,,,,24-12HT,"Superior 24"" Section Hi-Temp Double Wall Pipe Snap Lock | 24-12HT |",,Venting Components,Product,,,24-12HT,,,,,,,,
24-8dm,43593041128,,Superior,,,,,,,24-8DM,Superior Wood Burning Vent Pipe IHP | 24-8DM |,,Venting Components,Product,,,24-8DM,,,,,,,,
24-8ht,43593041265,,Superior,,,,,,,24-8HT,"Superior 24"" Section Hi-Temp Double Wall Pipe Snap Lock | 24-8HT |",,Venting Components,Product,,,24-8HT,,,,,,,,
25014,,,Empire,,,,,TRUE,TRUE,25014,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 25014 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,25014,,,,,,,,
25015,,,Empire,,,,,TRUE,TRUE,25015,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 25015 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,25015,,,,,,,,
2614-053,,,Majestic,,,,,,TRUE,2614-053,Majestic Hearthbrick and Top Black Glass Walls | 2614-053 |,MARQ36IN-B,Interior Panels,Variation Product,,,2614-053,,,,,,,,
2615-053,,,Majestic,,,,,,TRUE,2615-053,Majestic Hearthbrick and Top Black Glass Walls | 2615-053 |,MARQ42IN-B,Interior Panels,Variation Product,,,2615-053,,,,,,,,
2702,,,Monessen,,,,,,TRUE,2702,Monessen Warming Shelf - Classic Black | 0002702 |,SD30,Stove Shelf Kits,Variation Product,,,2702,,,,,,,,
27287,,,Empire,,,,,TRUE,TRUE,27287,Empire Natural Gas to Propane MF Conversion Kit | 27287 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,27287,,,,,,,,
27288,,,Empire,,,,,TRUE,TRUE,27288,Empire Natural Gas to Propane MF Conversion Kit | 27288 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N",Conversion Kits,Variation Product,,,27288,,,,,,,,
27289,,,Empire,,,,,TRUE,TRUE,27289,Empire Natural Gas to Propane MF Conversion Kit | 27289 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N, DVX36FP31LN, DVX36FP71LN, DVX36FP91LN",Conversion Kits,Variation Product,,,27289,,,,,,,,
27291,,,Empire,,,,,TRUE,TRUE,27291,Empire Propane Gas to Natural MF Conversion Kit | 27291 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,27291,,,,,,,,
27292,,,Empire,,,,,TRUE,TRUE,27292,Empire Propane Gas to Natural MF Conversion Kit | 27292 |,"DVP42FP30N, DVP42FP31N, DVP42FP70N, DVP42FP71N, DVP42FP91N",Conversion Kits,Variation Product,,,27292,,,,,,,,
27293,,,Empire,,,,,TRUE,TRUE,27293,Empire Propane Gas to Natural MF Conversion Kit | 27293 |,"DVX36FP31LN, DVX36FP71LN, DVX36FP91LN",Conversion Kits,Variation Product,,,27293,,,,,,,,
27480,,,Empire,,,,,TRUE,TRUE,27480,Empire Propane Gas to Natural MF Conversion Kit | 27480 |,"DVP36FP30N, DVP36FP31N, DVP36FP70N, DVP36FP71N, DVP36FP91N, DVP36PP32EN, DVP36SP32EN",Conversion Kits,Variation Product,,,27480,,,,,,,,
28779,,,Empire,,,,,TRUE,TRUE,28779,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 28779 |,"DVL25FP32N, DVL25FP72N, DVL25IN33N, DVL25IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,28779,,,,,,,,
28780,,,Empire,,,,,TRUE,TRUE,28780,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 28780 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,28780,,,,,,,,
28781,,,Empire,,,,,TRUE,TRUE,28781,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 28781 |,"DVL25FP32N, DVL25FP72N, DVL25IN33N, DVL25IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,28781,,,,,,,,
28782,,,Empire,,,,,TRUE,TRUE,28782,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 28782 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,28782,,,,,,,,
28784,,,Empire,,,,,TRUE,TRUE,28784,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 28784 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N",Conversion Kits,Variation Product,,,28784,,,,,,,,
28786,,,Empire,,,,,TRUE,TRUE,28786,Empire Millivolt Ignition with Natural to Propane Gas Conversion Kit | 28786 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N",Conversion Kits,Variation Product,,,28786,,,,,,,,
29192,,,Empire,,,,,TRUE,TRUE,29192,Empire Electronic Ignition with Propane to Natural Gas Conversion Kit | 29192 |,"DVL25FP32N, DVL25FP72N, DVL25IN33N, DVL25IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,29192,,,,,,,,
29193,,,Empire,,,,,TRUE,TRUE,29193,Empire Electronic Ignition with Propane to Natural Gas Conversion Kit | 29193 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,29193,,,,,,,,
29194,,,Empire,,,,,TRUE,TRUE,29194,Empire Electronic Ignition with Natural to Propane Gas Conversion Kit | 29194 |,"DVL25FP32N, DVL25FP72N, DVL25IN33N, DVL25IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,29194,,,,,,,,
29195,,,Empire,,,,,TRUE,TRUE,29195,Empire Electronic Ignition with Natural to Propane Gas Conversion Kit | 29195 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,29195,,,,,,,,
29196,,,Empire,,,,,TRUE,TRUE,29196,Empire Electronic Ignition with Propane to Natural Gas Conversion Kit | 29196 |,"DVL25FP32N, DVL25FP72N, DVL25IN33N, DVL25IN73N",Conversion Kits,Variation Product,,,29196,,,,,,,,
29197,,,Empire,,,,,TRUE,TRUE,29197,Empire Electronic Ignition with Propane to Natural Gas IP Conversion Kit | 29197 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N",Conversion Kits,Variation Product,,,29197,,,,,,,,
29198,,,Empire,,,,,TRUE,TRUE,29198,Empire Electronic Ignition with Natural to Propane Gas Conversion Kit | 29198 |,"DVL25FP32N, DVL25FP72N, DVL25IN33N, DVL25IN73N",Conversion Kits,Variation Product,,,29198,,,,,,,,
29199,,,Empire,,,,,TRUE,TRUE,29199,Empire Electronic Ignition with Natural to Propane Gas IP Conversion Kit | 29199 |,"DVL33FP32N, DVL33FP72N, DVL33IN33N, DVL33IN73N",Conversion Kits,Variation Product,,,29199,,,,,,,,
30669,,,Empire,,,,,,TRUE,30669,Empire Electronic Ignition with Multi-Function remote with Natural to Propane Gas MF Conversion Kit | 30669 |,DVLL41FP92N,Conversion Kits,Variation Product,,,30669,,,,,,,,
30670,,,Empire,,,,,,TRUE,30670,Empire Electronic Ignition with Multi-Function remote with Natural to Propane Gas Conversion Kit | 30670 |,DVTL41BP90N,Conversion Kits,Variation Product,,,30670,,,,,,,,
30671,,,Empire,,,,,,TRUE,30671,Empire Electronic Ignition with Multi-Function remote with Propane to Natural Gas Conversion Kit | 30671 |,DVLL41FP92N,Conversion Kits,Variation Product,,,30671,,,,,,,,
30672,,,Empire,,,,,,TRUE,30672,Empire Electronic Ignition with Multi-Function remote with Propane to Natural Gas Conversion Kit | 30672 |,DVTL41BP90N,Conversion Kits,Variation Product,,,30672,,,,,,,,
30e-12dm,43593042583,,Superior,,,,,,,30E-12DM,Superior 30 Degree Offset and Return | 30E-12DM |,,Venting Components,Product,,,30E-12DM,,,,,,,,
30e-12dm0-8dmr,43593058546,,Superior,,,,,,,30E-12DM0-8DMR,"Superior 30 Degree 12"" DM Offset and 8"" DM Return | 30E-12DM0-8DMR |",,Venting Components,Product,,,30E-12DM0-8DMR,,,,,,,,
30e-12ht,43593042378,,Superior,,,,,,,30E-12HT,Superior 30 Degree Hi-Temp Offset and Return | 30E-12HT |,,Venting Components,Product,,,30E-12HT,,,,,,,,
30e-12hto-8htr,43593059383,,Superior,,,,,,,30E-12HTO-8HTR,"Superior 30 Degree 12"" HT Offset and 8"" HT Return | 30E-12HTO-8HTR |",,Venting Components,Product,,,30E-12HTO-8HTR,,,,,,,,
30e-8dm,43593041098,,Superior,,,,,,,30E-8DM,Superior 30 Degree Offset and Return | 30E-8DM |,,Venting Components,Product,,,30E-8DM,,,,,,,,
30e-8ht,43593041234,,Superior,,,,,,,30E-8HT,Superior 30 Degree Hi-Temp Offset and Return | 30E-8HT |,,Venting Components,Product,,,30E-8HT,,,,,,,,
30fs-10,43593042545,,Superior,,,,,,,30FS-10,Superior 30 Degree Firestop Spacer (1) | 30FS-10 |,,Venting Components,Product,,,30FS-10,,,,,,,,
30fs-8dm,43593041043,,Superior,,,,,,,30FS-8DM,Superior 30 Degree Firestop Spacer (1ea.) | 30FS-8DM |,,Venting Components,Product,,,30FS-8DM,,,,,,,,
31051,,,Empire,,,,,TRUE,TRUE,31051,Empire Millivolt Ignition with Propane to Natural Gas Conversion Kit | 31051 |,"DVP20CC30BN, DVP20CC30FN, DVP20CC30MN, DVP20CC70BN, DVP20CC70FN, DVP20CC70MN, OLL60FP12SN, OLL60SP12SN",Conversion Kits,Variation Product,,,31051,,,,,,,,
